iter	Accuracy	Logloss
501	0.9761694616	0.1849757997
502	0.9770520741	0.1845002448
503	0.9770520741	0.1842675588
504	0.9770520741	0.1841338095
505	0.9770520741	0.1837348232
506	0.9770520741	0.1834493782
507	0.9770520741	0.1834016003
508	0.9770520741	0.1831046323
509	0.9770520741	0.1827389582
510	0.9770520741	0.1823907943
511	0.9770520741	0.1821401092
512	0.9770520741	0.1817810479
513	0.9770520741	0.1815804378
514	0.9770520741	0.1815291059
515	0.9779346867	0.1808210325
516	0.9779346867	0.1804168038
517	0.9779346867	0.1799836862
518	0.9779346867	0.1795793613
519	0.9779346867	0.1794362036
520	0.9779346867	0.1789754613
521	0.9779346867	0.1786058343
522	0.9779346867	0.1780799463
523	0.9779346867	0.1779489942
524	0.9779346867	0.1779196952
525	0.9779346867	0.177329145
526	0.9796999117	0.1770046126
527	0.9796999117	0.1766313601
528	0.9788172992	0.1760068043
529	0.9788172992	0.1758771423
530	0.9779346867	0.1753179641
531	0.9788172992	0.1752511512
532	0.9796999117	0.1749867653
533	0.9796999117	0.1745328983
534	0.9796999117	0.1743160779
535	0.9796999117	0.1742201922
536	0.9796999117	0.1739807956
537	0.9788172992	0.1734467823
538	0.9788172992	0.1732231644
539	0.9788172992	0.1727559892
540	0.9788172992	0.172312154
541	0.9788172992	0.1722171345
542	0.9788172992	0.17193551
543	0.9788172992	0.1717054265
544	0.9788172992	0.1709611622
545	0.9788172992	0.1706955502
546	0.9788172992	0.1703642391
547	0.9796999117	0.1700324343
548	0.9788172992	0.1694087543
549	0.9796999117	0.1688557439
550	0.9805825243	0.1685204236
551	0.9805825243	0.1683151533
552	0.9805825243	0.1682942338
553	0.9805825243	0.1680658257
554	0.9805825243	0.1678029868
555	0.9805825243	0.1674377437
556	0.9805825243	0.167284389
557	0.9796999117	0.1671206161
558	0.9805825243	0.1665802509
559	0.9814651368	0.166258137
560	0.9814651368	0.1661931177
561	0.9814651368	0.1660523692
562	0.9814651368	0.1658932157
563	0.9814651368	0.1655128292
564	0.9814651368	0.1650884233
565	0.9814651368	0.164895482
566	0.9814651368	0.1646990154
567	0.9814651368	0.1643893499
568	0.9814651368	0.1641442144
569	0.9814651368	0.1640671826
570	0.9814651368	0.1635651255
571	0.9814651368	0.1632816916
572	0.9814651368	0.1630594535
573	0.9814651368	0.1629036307
574	0.9814651368	0.1627610771
575	0.9814651368	0.1624310236
576	0.9814651368	0.1624217661
577	0.9814651368	0.1615314459
578	0.9814651368	0.1613087953
579	0.9814651368	0.1610592857
580	0.9814651368	0.1605925543
581	0.9814651368	0.1603956837
582	0.9823477493	0.1602531166
583	0.9814651368	0.1595063451
584	0.9814651368	0.1594028594
585	0.9814651368	0.1592165856
586	0.9814651368	0.1590147929
587	0.9814651368	0.1588550146
588	0.9823477493	0.1586614058
589	0.9823477493	0.158492784
590	0.9823477493	0.1583368027
