iter	Passed	Remaining
614	3607	2258
615	3615	2253
616	3620	2247
617	3627	2242
618	3632	2236
619	3642	2232
620	3648	2226
621	3657	2222
622	3664	2217
623	3670	2211
624	3680	2208
625	3688	2203
626	3695	2198
627	3704	2194
628	3711	2188
629	3716	2182
630	3728	2180
631	3735	2175
632	3747	2172
633	3757	2169
634	3764	2163
635	3774	2160
636	3782	2155
637	3788	2149
638	3796	2144
639	3801	2138
640	3807	2132
641	3815	2127
642	3821	2121
643	3825	2114
644	3830	2108
645	3835	2102
646	3841	2095
647	3846	2089
648	3851	2082
649	3855	2076
650	3860	2069
651	3865	2062
652	3870	2056
653	3874	2049
654	3879	2043
655	3884	2036
656	3888	2030
657	3893	2023
658	3898	2017
659	3902	2010
660	3907	2003
661	3912	1997
662	3917	1991
663	3922	1984
664	3926	1977
665	3935	1973
666	3940	1967
667	3946	1961
668	3951	1955
669	3956	1948
670	3960	1941
671	3965	1935
672	3969	1928
673	3973	1922
674	3978	1915
675	3983	1909
676	3987	1902
677	3992	1896
678	3997	1889
679	4001	1883
680	4006	1876
681	4010	1870
682	4015	1863
683	4021	1857
684	4026	1851
685	4030	1844
686	4035	1838
687	4041	1832
688	4045	1825
689	4049	1819
690	4054	1813
691	4059	1806
692	4063	1800
693	4069	1794
694	4074	1788
695	4080	1782
696	4084	1775
697	4090	1769
698	4094	1763
699	4099	1756
700	4104	1750
701	4108	1744
702	4115	1738
703	4127	1735
704	4138	1731
705	4147	1727
706	4155	1722
707	4162	1716
708	4172	1712
709	4178	1706
710	4184	1700
711	4191	1695
712	4197	1689
713	4204	1684
714	4210	1678
715	4220	1674
716	4227	1668
717	4234	1663
718	4241	1657
719	4246	1651
720	4254	1646
721	4261	1640
722	4272	1636
723	4283	1632
724	4290	1627
725	4299	1622
726	4306	1617
727	4313	1611
728	4319	1605
729	4324	1599
730	4332	1594
731	4337	1588
732	4342	1581
733	4347	1575
734	4351	1568
735	4356	1562
736	4361	1556
737	4366	1550
738	4371	1543
739	4375	1537
740	4380	1531
741	4385	1524
742	4390	1518
743	4395	1512
744	4400	1506
745	4405	1500
746	4410	1493
747	4414	1487
748	4419	1481
749	4424	1474
750	4429	1468
751	4434	1462
752	4438	1456
753	4443	1449
754	4448	1443
755	4453	1437
756	4457	1430
757	4462	1424
758	4467	1418
759	4472	1412
760	4476	1406
761	4482	1399
762	4487	1393
763	4492	1387
764	4497	1381
765	4501	1375
766	4506	1368
767	4511	1362
768	4517	1356
769	4521	1350
770	4526	1344
771	4531	1338
772	4535	1331
773	4539	1325
774	4544	1319
775	4548	1313
776	4553	1306
777	4558	1300
778	4563	1294
779	4567	1288
780	4572	1282
781	4577	1276
782	4581	1269
783	4586	1263
784	4591	1257
785	4596	1251
786	4600	1245
787	4604	1238
788	4609	1232
789	4614	1226
790	4619	1220
791	4623	1214
792	4627	1207
793	4632	1201
794	4636	1195
795	4642	1189
796	4647	1183
797	4652	1177
798	4657	1171
799	4664	1166
800	4671	1160
801	4681	1155
802	4687	1149
803	4694	1144
804	4699	1138
805	4706	1132
806	4719	1128
807	4728	1123
808	4737	1118
809	4748	1113
810	4754	1107
811	4764	1103
812	4771	1097
813	4779	1092
814	4787	1086
815	4794	1081
816	4801	1075
817	4812	1070
818	4817	1064
819	4825	1059
820	4833	1053
821	4840	1048
822	4847	1042
823	4852	1036
824	4858	1030
825	4863	1024
826	4867	1018
827	4877	1013
828	4883	1007
829	4888	1001
830	4893	995
831	4898	989
832	4904	983
833	4909	977
834	4916	971
835	4921	965
836	4927	959
837	4932	953
838	4936	947
839	4941	941
840	4946	935
841	4950	928
842	4955	922
843	4959	916
844	4964	910
845	4969	904
846	4973	898
847	4979	892
848	4983	886
849	4988	880
